country,activity,year,month,date,state,region,district,school_type,treatment,treat_phase,urban,student_id,grade,level,female,class_size,multigrade,age,language,clpm,clspm,csspm,cwpm,cnonwpm,unt_orf,orf,letter_score,letter_score_pcnt,letter_time_remain,letter_attempted,letter_attempted_pcnt,letter_sound_score,letter_sound_score_pcnt,letter_sound_time_remain,letter_sound_attempted,letter_sound_attempted_pcnt,fam_word_score,fam_word_score_pcnt,fam_word_time_remain,fam_word_attempted,fam_word_attempted_pcnt,oral_read_score,oral_read_score_pcnt,oral_read_time_remain,oral_read_attempted,oral_read_attempted_pcnt,read_comp_score,read_comp_score_pcnt,read_comp_attempted,read_comp_attempted_pcnt,unt_oral_read_score,unt_oral_read_score_pcnt,unt_oral_read_time_remain,unt_oral_read_attempted,unt_oral_read_attempted_pcnt,unt_read_comp_score,unt_read_comp_score_pcnt,unt_read_comp_attempted,unt_read_comp_attempted_pcnt,list_comp_score,list_comp_score_pcnt,list_comp_attempted,list_comp_attempted_pcnt,pa_num_sound_score,pa_num_sound_score_pcnt,pa_num_sound_attempted,pa_num_sound_attempted_pcnt,pa_phon_sound_score,pa_phon_sound_score_pcnt,pa_phon_sound_attempted,pa_phon_sound_attempted_pcnt,pa_diff_init_sound_score,pa_diff_init_sound_score_pcnt,pa_diff_init_sound_attempted,pa_diff_init_sound_attempted_pcnt,pa_init_sound_score,pa_init_sound_score_pcnt,pa_init_sound_attempted,pa_init_sound_attempted_pcnt,syllable_sound_score,syllable_sound_score_pcnt,syllable_sound_time_remain,syllable_sound_attempted,syllable_sound_attempted_pcnt,vocab_word_score,vocab_word_attempted,eq_orf,eq_oral_read_score,eq_oral_read_score_pcnt,eq_oral_read_attempted,eq_oral_read_attempted_pcnt,final_weight,strata1,strata2,strata3,strata4,strata5,fpc1,fpc2,fpc3,fpc4,fpc5,su1,su2,su3,su4,su5,wt1,wt2,wt3,wt4,wt5,cot_score,cot_attempted,cot_attempted_pcnt,invent_word_score,invent_word_score_pcnt,invent_word_time_remain,invent_word_attempted,invent_word_attempted_pcnt,eq_read_comp_score,eq_read_comp_score_pcnt,eq_read_comp_attempted,eq_read_comp_attempted_pcnt,cohort,intervention,encrypted_school_code
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,102010516,2,,Male,,,8,Tigrigna,53,,,27,17,,23,53,,0,,,,,,,,27,,0,,,23,,0,,,0,0,,,,,,,,,,,,4,80,,,,,,,8,80,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,17,,0,,,,,,,,,9e1dcdc2ea2a69c8d5a56f54e05988a4
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,102010517,2,,Male,,,8,Tigrigna,49,,,16,12,,6,49,,0,,,,,,,,16,,0,,,6,,0,,,0,0,,,,,,,,,,,,4,80,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,12,,0,,,,,,,,,9e1dcdc2ea2a69c8d5a56f54e05988a4
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,102010518,2,,Male,,,9,Tigrigna,59,,,34,16,,21,59,,0,,,,,,,,34,,0,,,21,,0,,,1,20,,,,,,,,,,,,2,40,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,16,,0,,,,,,,,,9e1dcdc2ea2a69c8d5a56f54e05988a4
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Amhara,,Satellite,Full treatment,Endline,,301020205,2,,Female,,,9,Amharic,36,,,12,9,,8,36,,0,,,,,,,,12,,,,,8,,,,,1,20,,,,,,,,,,,,3,60,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,9,,0,,,,,,,,,90c28553a33392e41e94493fda7414ec
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Amhara,,Satellite,Full treatment,Endline,,301020206,2,,Female,,,10,Amharic,26,,,9,4,,11,26,,0,,,,,,,,9,,,,,11,,,,,0,0,,,,,,,,,,,,4,80,,,,,,,9,90,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,4,,0,,,,,,,,,90c28553a33392e41e94493fda7414ec
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Amhara,,Satellite,Full treatment,Endline,,301020207,2,,Female,,,12,Amharic,13,,,0,0,,0,13,,0,,,,,,,,0,,,,,0,,,,,0,0,,,,,,,,,,,,5,100,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,90c28553a33392e41e94493fda7414ec
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Amhara,,CRC,Full treatment,Endline,,303030114,2,,Male,,,10,Amharic,78,,,50,36,,29,78,,0,,,,,,,,50,,,,,29,,,,,1,20,,,,,,,,,,,,3,60,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,36,,0,,,,,,,,,84a7d51716ad4bdd3978ed89fe806126
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Amhara,,CRC,Full treatment,Endline,,303030115,2,,Male,,,15,Amharic,99,,,29,19,,21,99,,,,,,,,,,29,,,,,21,,,,,2,40,,,,,,,,,,,,5,100,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,19,,0,,,,,,,,,84a7d51716ad4bdd3978ed89fe806126
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Amhara,,CRC,Full treatment,Endline,,303030116,2,,Male,,,7,Amharic,0,,,0,0,,0,0,,0,,,,,,,,0,,,,,0,,,,,0,0,,,,,,,,,,,,1,20,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,84a7d51716ad4bdd3978ed89fe806126
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Oromia,,Linkage,Full treatment,Endline,,402010122,3,,Female,,,10,Afaan Oromo,60,,,19,15,,12,60,,0,,,,,,,,19,,0,,,12,,0,,,2,40,,,,,,,,,,,,4,80,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,15,,0,,,,,,,,,51af6b79a0c26f62cdd704efd3d1a8f6
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Oromia,,Linkage,Full treatment,Endline,,402010123,3,,Female,,,9,Afaan Oromo,50,,,18,15,,11,50,,0,,,,,,,,18,,0,,,11,,0,,,1,20,,,,,,,,,,,,4,80,,,,,,,7,70,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,15,,0,,,,,,,,,51af6b79a0c26f62cdd704efd3d1a8f6
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Oromia,,Linkage,Full treatment,Endline,,402010124,3,,Female,,,10,Afaan Oromo,83,,,47,26,,59,83,,0,,,,,,,,47,,0,,,59,,0,,,5,100,,,,,,,,,,,,5,100,,,,,,,9,90,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,26,,0,,,,,,,,,51af6b79a0c26f62cdd704efd3d1a8f6
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Oromia,,CRC,Full treatment,Endline,,406010101,2,,Female,,,9,Afaan Oromo,42,,,21,14,,16,42,,0,,,,,,,,21,,0,,,16,,,,,2,40,,,,,,,,,,,,4,80,,,,,,,8,80,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,14,,0,,,,,,,,,e727b30e28e893e433343f40d30ad1ad
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Oromia,,CRC,Full treatment,Endline,,406010102,2,,Female,,,8,Afaan Oromo,0,,,0,0,,0,0,,0,,,,,,,,0,,,,,0,,,,,0,0,,,,,,,,,,,,5,100,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,e727b30e28e893e433343f40d30ad1ad
